"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
4.560,0.6534,-0.951,0.126
4.580,0.6344,-0.950,0.008
4.600,0.6154,-0.951,-0.076
4.620,0.5964,-0.954,-0.109
4.640,0.5773,-0.956,-0.109
4.660,0.5580,-0.958,-0.084
4.680,0.5390,-0.960,1.443E-13
4.700,0.5197,-0.960,0.202
4.720,0.5004,-0.954,0.480
4.740,0.4814,-0.940,0.724
4.760,0.4629,-0.923,0.876
4.780,0.4445,-0.904,0.968
4.800,0.4266,-0.884,1.044
4.820,0.4091,-0.862,1.078
4.840,0.3922,-0.840,1.053
4.860,0.3755,-0.820,0.994
4.880,0.3594,-0.800,0.943
4.900,0.3435,-0.782,0.935
4.920,0.3281,-0.764,0.977
4.940,0.3130,-0.744,1.044
4.960,0.2983,-0.722,1.069
4.980,0.2841,-0.699,1.027
5.000,0.2704,-0.680,0.968
5.020,0.2570,-0.662,0.943
5.040,0.2439,-0.643,0.952
5.060,0.2312,-0.623,0.968
5.080,0.2190,-0.604,0.994
5.100,0.2070,-0.584,1.027
5.120,0.1956,-0.563,1.044
5.140,0.1846,-0.542,1.036
5.160,0.1739,-0.521,1.011
5.180,0.1637,-0.501,0.985
5.200,0.1539,-0.482,0.968
5.220,0.1444,-0.463,0.960
5.240,0.1353,-0.444,0.960
5.260,0.1267,-0.424,0.968
5.280,0.1184,-0.405,0.994
5.300,0.1105,-0.385,1.027
5.320,0.1030,-0.364,1.044
5.340,0.0959,-0.343,1.036
5.360,0.0892,-0.322,1.019
5.380,0.0831,-0.302,1.011
5.400,0.0771,-0.282,1.019
5.420,0.0718,-0.262,1.027
5.440,0.0667,-0.241,1.027
5.460,0.0621,-0.220,1.019
5.480,0.0580,-0.200,1.011
5.500,0.0541,-0.180,1.011
5.520,0.0507,-0.160,1.002
5.540,0.0478,-0.139,0.985
5.560,0.0451,-0.120,0.977
5.580,0.0429,-0.101,0.985
5.600,0.0411,-0.081,0.994
5.620,0.0397,-0.061,0.985
5.640,0.0387,-0.041,0.968
5.660,0.0381,-0.022,0.960
5.680,0.0377,-0.003,0.960
5.700,0.0380,0.016,0.960
5.720,0.0384,0.035,0.968
5.740,0.0393,0.055,0.985
5.760,0.0406,0.075,1.002
5.780,0.0423,0.095,1.011
5.800,0.0444,0.115,1.002
5.820,0.0469,0.135,0.977
5.840,0.0498,0.155,0.952
5.860,0.0531,0.173,0.952
5.880,0.0568,0.192,0.977
5.900,0.0608,0.212,0.994
5.920,0.0652,0.232,0.994
5.940,0.0701,0.252,1.002
5.960,0.0753,0.272,1.019
5.980,0.0809,0.293,1.027
6.000,0.0871,0.313,1.011
6.020,0.0935,0.333,0.994
6.040,0.1003,0.353,0.985
6.060,0.1077,0.373,0.977
6.080,0.1152,0.392,0.977
6.100,0.1233,0.411,0.977
6.120,0.1317,0.431,0.977
6.140,0.1405,0.451,0.960
6.160,0.1498,0.470,0.943
6.180,0.1593,0.488,0.952
6.200,0.1693,0.507,0.977
6.220,0.1796,0.527,0.994
6.240,0.1904,0.548,0.985
6.260,0.2015,0.567,0.977
6.280,0.2131,0.586,0.977
6.300,0.2249,0.606,0.968
6.320,0.2373,0.626,0.943
6.340,0.2500,0.644,0.926
6.360,0.2630,0.662,0.935
6.380,0.2765,0.681,0.960
6.400,0.2903,0.700,0.994
6.420,0.3045,0.720,1.019
6.440,0.3190,0.742,1.002
6.460,0.3342,0.762,0.935
6.480,0.3496,0.779,0.884
6.500,0.3654,0.795,0.918
6.520,0.3814,0.814,1.011
6.540,0.3979,0.837,1.069
6.560,0.4148,0.859,1.044
6.580,0.4323,0.879,0.968
6.600,0.4500,0.897,0.884
6.620,0.4682,0.915,0.783
6.640,0.4866,0.930,0.623
6.660,0.5054,0.941,0.387
6.680,0.5243,0.946,0.126
6.700,0.5434,0.945,-0.076
6.720,0.5622,0.941,-0.168
6.740,0.5810,0.937,-0.177
6.760,0.5996,0.934,-0.160
6.780,0.6183,0.931,-0.152
6.800,0.6369,0.928,-0.126
6.820,0.6554,0.925,-0.051
6.840,0.6739,0.925,0.051
6.860,0.6923,0.928,0.093
6.880,0.7110,0.931,-0.008
6.900,0.7296,0.930,-0.236
6.920,0.7482,0.922,-0.497
6.940,0.7666,0.908,-0.707
6.960,0.7846,0.892,-0.859
6.980,0.8023,0.874,-0.985
7.000,0.8196,0.853,-1.086
7.020,0.8365,0.830,-1.128
7.040,0.8527,0.806,-1.095
7.060,0.8687,0.785,-1.019
7.080,0.8841,0.766,-0.952
7.100,0.8993,0.748,-0.943
7.120,0.9141,0.730,-0.985
7.140,0.9285,0.708,-1.027
7.160,0.9425,0.687,-1.027
7.180,0.9559,0.667,-0.994
7.200,0.9691,0.648,-0.968
7.220,0.9819,0.629,-0.952
7.240,0.9942,0.609,-0.943
7.260,1.0062,0.591,-0.952
7.280,1.0179,0.572,-0.977
7.300,1.0292,0.552,-0.994
7.320,1.0399,0.532,-0.985
7.340,1.0504,0.512,-0.977
7.360,1.0604,0.493,-0.977
7.380,1.0701,0.473,-0.968
7.400,1.0794,0.454,-0.952
7.420,1.0882,0.436,-0.952
7.440,1.0968,0.416,-0.968
7.460,1.1049,0.396,-0.968
7.480,1.1126,0.377,-0.952
7.500,1.1200,0.359,-0.952
7.520,1.1270,0.340,-0.977
7.540,1.1336,0.319,-0.994
7.560,1.1397,0.299,-0.985
7.580,1.1456,0.280,-0.968
7.600,1.1509,0.261,-0.960
7.620,1.1560,0.242,-0.968
7.640,1.1606,0.222,-0.985
7.660,1.1648,0.202,-0.994
7.680,1.1687,0.182,-0.977
7.700,1.1721,0.163,-0.943
7.720,1.1752,0.145,-0.935
7.740,1.1779,0.126,-0.968
7.760,1.1802,0.106,-1.002
7.780,1.1822,0.085,-1.002
7.800,1.1836,0.066,-0.977
7.820,1.1847,0.046,-0.968
7.840,1.1856,0.027,-0.977
7.860,1.1858,0.007,-0.977
7.880,1.1858,-0.012,-0.977
7.900,1.1853,-0.031,-0.977
7.920,1.1846,-0.052,-0.977
7.940,1.1833,-0.071,-0.968
7.960,1.1817,-0.090,-0.968
7.980,1.1798,-0.109,-0.977
8.000,1.1773,-0.129,-0.968
8.020,1.1745,-0.149,-0.952
8.040,1.1714,-0.167,-0.943
8.060,1.1679,-0.186,-0.952
8.080,1.1640,-0.205,-0.952
8.100,1.1596,-0.224,-0.935
8.120,1.1550,-0.243,-0.926
8.140,1.1499,-0.261,-0.935
8.160,1.1446,-0.280,-0.960
8.180,1.1388,-0.299,-0.985
8.200,1.1326,-0.319,-1.002
8.220,1.1260,-0.340,-1.002
8.240,1.1190,-0.360,-0.977
8.260,1.1116,-0.379,-0.943
8.280,1.1039,-0.397,-0.926
8.300,1.0957,-0.415,-0.935
8.320,1.0872,-0.435,-0.943
8.340,1.0784,-0.454,-0.926
8.360,1.0690,-0.472,-0.901
8.380,1.0595,-0.489,-0.918
8.400,1.0495,-0.507,-0.977
8.420,1.0392,-0.529,-1.027
8.440,1.0284,-0.550,-1.019
8.460,1.0171,-0.570,-0.960
8.480,1.0056,-0.588,-0.901
8.500,0.9936,-0.605,-0.876
8.520,0.9814,-0.622,-0.901
8.540,0.9688,-0.641,-0.935
8.560,0.9558,-0.661,-0.935
8.580,0.9423,-0.679,-0.901
8.600,0.9285,-0.696,-0.867
8.620,0.9146,-0.713,-0.859
8.640,0.9000,-0.731,-0.867
8.660,0.8852,-0.748,-0.901
8.680,0.8702,-0.766,-0.968
8.700,0.8547,-0.786,-1.036
8.720,0.8386,-0.808,-1.053
8.740,0.8224,-0.830,-1.002
8.760,0.8054,-0.849,-0.901
8.780,0.7883,-0.866,-0.800
8.800,0.7709,-0.880,-0.691
8.820,0.7530,-0.894,-0.522
8.840,0.7351,-0.903,-0.286
8.860,0.7168,-0.905,-0.042
8.880,0.6987,-0.903,0.101
8.900,0.6808,-0.899,0.135
8.920,0.6627,-0.897,0.101
8.940,0.6449,-0.895,0.034
8.960,0.6269,-0.895,-0.025
8.980,0.6091,-0.897,-0.059
9.000,0.5910,-0.898,-0.067
9.020,0.5731,-0.899,-0.084
9.040,0.5551,-0.901,-0.084
9.060,0.5371,-0.904,0.017
9.080,0.5189,-0.903,0.244
9.100,0.5008,-0.895,0.514
9.120,0.4830,-0.881,0.707
9.140,0.4655,-0.865,0.800
9.160,0.4484,-0.849,0.859
9.180,0.4316,-0.832,0.952
9.200,0.4151,-0.811,1.061
9.220,0.3991,-0.788,1.112
9.240,0.3836,-0.765,1.061
9.260,0.3685,-0.745,0.960
9.280,0.3538,-0.728,0.901
9.300,0.3394,-0.710,0.926
9.320,0.3253,-0.691,0.994
9.340,0.3118,-0.670,1.044
9.360,0.2985,-0.649,1.053
9.380,0.2858,-0.628,1.027
9.400,0.2734,-0.607,0.994
9.420,0.2616,-0.588,0.968
9.440,0.2499,-0.569,0.960
9.460,0.2388,-0.550,0.960
9.480,0.2280,-0.531,0.968
9.500,0.2175,-0.511,0.985
9.520,0.2075,-0.491,1.002
9.540,0.1979,-0.471,1.011
9.560,0.1887,-0.451,1.019
9.580,0.1798,-0.430,1.027
9.600,0.1715,-0.409,1.019
9.620,0.1635,-0.389,0.994
9.640,0.1559,-0.370,0.968
9.660,0.1487,-0.351,0.968
9.680,0.1419,-0.331,0.985
9.700,0.1354,-0.311,1.002
9.720,0.1294,-0.291,1.002
9.740,0.1238,-0.271,0.985
9.760,0.1186,-0.252,0.977
9.780,0.1137,-0.232,0.985
9.800,0.1093,-0.212,1.002
9.820,0.1053,-0.192,1.011
9.840,0.1016,-0.172,1.011
9.860,0.0983,-0.152,1.011
9.880,0.0956,-0.131,1.002
9.900,0.0931,-0.111,0.985
9.920,0.0911,-0.092,0.977
9.940,0.0895,-0.073,0.985
9.960,0.0882,-0.053,1.002
9.980,0.0873,-0.032,1.002
10.000,0.0869,-0.012,0.994
10.020,0.0868,0.007,0.994
10.040,0.0872,0.027,0.994
10.060,0.0879,0.047,0.994
10.080,0.0891,0.067,0.994
10.100,0.0906,0.087,1.002
10.120,0.0925,0.107,1.002
10.140,0.0949,0.127,0.985
10.160,0.0976,0.147,0.968
10.180,0.1008,0.166,0.960
10.200,0.1043,0.185,0.960
10.220,0.1082,0.204,0.968
10.240,0.1124,0.223,0.985
10.260,0.1171,0.244,1.002
10.280,0.1221,0.264,1.002
10.300,0.1277,0.284,0.977
10.320,0.1335,0.303,0.952
10.340,0.1398,0.321,0.943
10.360,0.1464,0.341,0.960
10.380,0.1534,0.360,0.985
10.400,0.1608,0.380,1.002
10.420,0.1686,0.400,1.002
10.440,0.1768,0.420,0.985
10.460,0.1854,0.440,0.977
10.480,0.1944,0.459,0.977
10.500,0.2037,0.479,0.977
10.520,0.2135,0.498,0.968
10.540,0.2237,0.517,0.960
10.560,0.2342,0.537,0.952
10.580,0.2452,0.556,0.926
10.600,0.2565,0.574,0.909
10.620,0.2681,0.591,0.926
10.640,0.2801,0.610,0.977
10.660,0.2925,0.631,1.019
10.680,0.3053,0.652,1.019
10.700,0.3186,0.672,0.985
10.720,0.3323,0.691,0.935
10.740,0.3462,0.709,0.901
10.760,0.3606,0.727,0.909
10.780,0.3753,0.745,0.968
10.800,0.3903,0.765,1.036
10.820,0.4059,0.787,1.053
10.840,0.4219,0.808,1.002
10.860,0.4382,0.828,0.918
10.880,0.4550,0.845,0.834
10.900,0.4721,0.861,0.733
10.920,0.4894,0.875,0.573
10.940,0.5071,0.885,0.354
10.960,0.5249,0.889,0.135
10.980,0.5428,0.889,-0.025
11.000,0.5605,0.887,-0.118
11.020,0.5783,0.884,-0.168
11.040,0.5959,0.880,-0.177
11.060,0.6135,0.876,-0.152
11.080,0.6309,0.874,-0.109
11.100,0.6484,0.872,-0.067
11.120,0.6659,0.871,-0.025
11.140,0.6832,0.871,0.017
11.160,0.7007,0.872,0.008
11.180,0.7181,0.873,-0.101
11.200,0.7356,0.870,-0.312
11.220,0.7530,0.861,-0.547
11.240,0.7701,0.847,-0.724
11.260,0.7869,0.831,-0.851
11.280,0.8034,0.813,-0.968
11.300,0.8195,0.792,-1.069
11.320,0.8351,0.769,-1.112
11.340,0.8502,0.747,-1.078
11.360,0.8650,0.726,-1.011
11.380,0.8793,0.706,-0.952
11.400,0.8931,0.688,-0.935
11.420,0.9068,0.670,-0.977
11.440,0.9200,0.650,-1.036
11.460,0.9327,0.628,-1.061
11.480,0.9451,0.606,-1.036
11.500,0.9570,0.586,-0.985
11.520,0.9685,0.567,-0.943
11.540,0.9797,0.549,-0.918
11.560,0.9905,0.531,-0.918
11.580,1.0009,0.512,-0.943
11.600,1.0110,0.493,-0.977
11.620,1.0207,0.473,-1.002
11.640,1.0299,0.453,-1.002
11.660,1.0387,0.433,-0.985
11.680,1.0472,0.413,-0.968
11.700,1.0552,0.394,-0.960
11.720,1.0630,0.375,-0.968
11.740,1.0703,0.356,-0.977
11.760,1.0772,0.335,-0.977
11.780,1.0837,0.316,-0.960
11.800,1.0898,0.297,-0.943
11.820,1.0956,0.279,-0.943
11.840,1.1009,0.260,-0.952
11.860,1.1060,0.241,-0.960
11.880,1.1105,0.221,-0.960
11.900,1.1149,0.202,-0.968
11.920,1.1186,0.183,-0.985
11.940,1.1222,0.163,-1.002
11.960,1.1252,0.142,-1.002
11.980,1.1279,0.122,-0.985
12.000,1.1300,0.103,-0.968
12.020,1.1320,0.084,-0.960
12.040,1.1334,0.065,-0.960
12.060,1.1345,0.045,-0.968
12.080,1.1353,0.026,-0.985
12.100,1.1356,0.006,-0.994
12.120,1.1355,-0.014,-0.977
12.140,1.1350,-0.033,-0.952
12.160,1.1342,-0.052,-0.952
12.180,1.1330,-0.071,-0.977
12.200,1.1314,-0.091,-1.002
12.220,1.1293,-0.111,-1.002
12.240,1.1269,-0.131,-0.977
12.260,1.1241,-0.151,-0.943
12.280,1.1208,-0.169,-0.926
12.300,1.1173,-0.187,-0.943
12.320,1.1134,-0.206,-0.977
12.340,1.1091,-0.226,-0.994
12.360,1.1043,-0.247,-0.977
12.380,1.0992,-0.266,-0.943
12.400,1.0937,-0.284,-0.918
12.420,1.0878,-0.302,-0.918
12.440,1.0817,-0.320,-0.935
12.460,1.0750,-0.340,-0.943
12.480,1.0681,-0.359,-0.943
12.500,1.0607,-0.377,-0.943
12.520,1.0529,-0.396,-0.960
12.540,1.0449,-0.415,-0.977
12.560,1.0363,-0.436,-0.968
12.580,1.0275,-0.455,-0.960
12.600,1.0181,-0.473,-0.968
12.620,1.0085,-0.493,-0.977
12.640,0.9985,-0.513,-0.943
12.660,0.9879,-0.532,-0.884
12.680,0.9771,-0.548,-0.876
12.700,0.9661,-0.565,-0.909
12.720,0.9546,-0.585,-0.918
12.740,0.9427,-0.603,-0.893
12.760,0.9303,-0.619,-0.893
12.780,0.9180,-0.638,-0.935
12.800,0.9050,-0.658,-0.943
12.820,0.8915,-0.677,-0.909
12.840,0.8778,-0.693,-0.909
12.860,0.8639,-0.711,-0.977
12.880,0.8494,-0.733,-1.044
12.900,0.8345,-0.755,-1.027
12.920,0.8192,-0.775,-0.935
12.940,0.8035,-0.792,-0.834
12.960,0.7875,-0.807,-0.766
12.980,0.7712,-0.823,-0.691
13.000,0.7546,-0.837,-0.547
13.020,0.7376,-0.846,-0.345
13.040,0.7207,-0.850,-0.152
13.060,0.7037,-0.851,2.692E-13
13.080,0.6866,-0.850,0.118
13.100,0.6696,-0.846,0.168
13.120,0.6528,-0.841,0.118
13.140,0.6360,-0.840,-3.775E-13
13.160,0.6193,-0.842,-0.093
13.180,0.6023,-0.845,-0.101
13.200,0.5855,-0.847,-0.067
13.220,0.5685,-0.847,-0.042
13.240,0.5515,-0.848,-0.017
13.260,0.5346,-0.849,0.067
13.280,0.5175,-0.847,0.253
13.300,0.5006,-0.840,0.488
13.320,0.4840,-0.827,0.682
13.340,0.4675,-0.810,0.792
13.360,0.4515,-0.794,0.842
13.380,0.4358,-0.777,0.901
13.400,0.4203,-0.759,0.994
13.420,0.4054,-0.738,1.078
13.440,0.3908,-0.714,1.095
13.460,0.3768,-0.692,1.027
13.480,0.3632,-0.673,0.935
13.500,0.3500,-0.656,0.893
13.520,0.3369,-0.639,0.926
13.540,0.3244,-0.619,0.994
13.560,0.3121,-0.598,1.044
13.580,0.3004,-0.577,1.044
13.600,0.2891,-0.556,1.011
13.620,0.2782,-0.537,0.985
13.640,0.2676,-0.517,0.977
13.660,0.2574,-0.497,0.968
13.680,0.2477,-0.478,0.952
13.700,0.2384,-0.460,0.960
13.720,0.2293,-0.441,1.002
13.740,0.2207,-0.419,1.027
13.760,0.2126,-0.398,1.011
13.780,0.2048,-0.379,0.985
13.800,0.1974,-0.360,0.994
13.820,0.1904,-0.340,1.019
13.840,0.1838,-0.318,1.019
13.860,0.1776,-0.298,0.994
13.880,0.1719,-0.279,0.977
13.900,0.1665,-0.260,0.994
13.920,0.1615,-0.239,1.019
13.940,0.1569,-0.218,1.019
13.960,0.1528,-0.198,0.994
13.980,0.1490,-0.179,0.977
14.000,0.1456,-0.160,0.985
14.020,0.1426,-0.139,0.994
14.040,0.1401,-0.119,0.985
14.060,0.1379,-0.100,0.968
14.080,0.1361,-0.081,0.960
14.100,0.1346,-0.062,0.968
14.120,0.1336,-0.042,0.994
14.140,0.1329,-0.022,1.019
14.160,0.1327,-0.001,1.011
14.180,0.1329,0.019,0.977
14.200,0.1335,0.037,0.960
14.220,0.1344,0.057,0.977
14.240,0.1357,0.077,0.994
14.260,0.1375,0.097,0.985
14.280,0.1396,0.116,0.977
14.300,0.1421,0.135,0.977
14.320,0.1450,0.156,0.977
14.340,0.1483,0.175,0.977
14.360,0.1521,0.194,0.985
14.380,0.1561,0.214,1.002
14.400,0.1606,0.234,0.994
14.420,0.1655,0.255,0.968
14.440,0.1707,0.273,0.960
14.460,0.1764,0.292,0.977
14.480,0.1824,0.312,1.002
14.500,0.1889,0.332,1.002
14.520,0.1957,0.353,0.985
14.540,0.2030,0.372,0.968
14.560,0.2106,0.391,0.960
14.580,0.2186,0.410,0.960
14.600,0.2270,0.429,0.960
14.620,0.2359,0.449,0.952
14.640,0.2449,0.468,0.935
14.660,0.2545,0.486,0.918
14.680,0.2645,0.504,0.926
14.700,0.2747,0.522,0.968
14.720,0.2853,0.543,1.011
14.740,0.2964,0.564,1.027
14.760,0.3079,0.584,1.011
14.780,0.3198,0.604,0.977
14.800,0.3320,0.623,0.935
14.820,0.3447,0.642,0.901
14.840,0.3577,0.659,0.909
14.860,0.3711,0.677,0.960
14.880,0.3848,0.697,1.011
14.900,0.3990,0.718,1.019
14.920,0.4135,0.739,0.985
14.940,0.4285,0.758,0.926
14.960,0.4438,0.776,0.859
14.980,0.4596,0.792,0.783
15.000,0.4756,0.807,0.691
15.020,0.4918,0.821,0.547
15.040,0.5085,0.831,0.337
15.060,0.5252,0.835,0.126
15.080,0.5419,0.834,-0.008
15.100,0.5585,0.833,-0.059
15.120,0.5751,0.832,-0.093
15.140,0.5919,0.830,-0.143
15.160,0.6084,0.826,-0.168
15.180,0.6249,0.822,-0.152
